flow_duration,fwd_pkt_count,bwd_pkt_count,mean_pkt_size,iat_mean,pps,flood_score,mac_fill,new_mac_rate,syn_count,label
10.0,0,10,53.8,0.640705,1.56,0.0,0.0068,1.09,0,BENIGN
44.16,0,798,97.1,0.007864,127.17,0.0,0.002,0.0,0,BENIGN
14.27,0,15,59.2,0.418353,2.39,0.0,0.001,0.16,0,BENIGN
10.0,0,11,55.27,0.570482,1.75,0.0,0.0088,1.43,0,BENIGN
44.16,0,798,97.1,0.007864,127.17,0.0,0.002,0.0,0,BENIGN
35.5,0,8,56.5,0.784413,1.27,0.0,0.0039,0.32,0,BENIGN
10.0,0,11,55.27,0.570482,1.75,0.0,0.0088,1.43,0,BENIGN
35.5,0,8,56.5,0.784413,1.27,0.0,0.0039,0.32,0,BENIGN
21.07,0,6,52.0,1.088415,0.92,0.25,0.0039,0.31,0,BENIGN
25.67,0,9,52.0,0.72561,1.38,0.25,0.0039,0.46,0,BENIGN
21.07,0,6,52.0,1.088415,0.92,0.25,0.0039,0.31,0,BENIGN
0,0,9,52.0,0.72561,1.38,0.25,0.0,0.0,0,BENIGN
25.67,0,9,52.0,0.72561,1.38,0.25,0.0039,0.46,0,BENIGN
0,0,9,52.0,0.72561,1.38,0.25,0.0,0.0,0,BENIGN
34.91,0,841,97.31,0.007906,126.49,0.5,0.002,0.15,0,BENIGN
43.99,0,7,54.57,0.949835,1.05,0.5,0.0029,0.15,0,BENIGN
10.0,0,10,53.8,0.664885,1.5,0.5,0.0068,1.05,0,BENIGN
43.99,0,7,54.57,0.949835,1.05,0.5,0.0029,0.15,0,BENIGN
24.76,0,11,55.27,0.604441,1.65,0.5,0.0029,0.3,0,BENIGN
24.76,0,11,55.27,0.604441,1.65,0.5,0.0029,0.3,0,BENIGN
34.91,0,841,97.31,0.007906,126.49,0.5,0.002,0.15,0,BENIGN
42.57,0,8,52.0,0.762313,1.31,0.25,0.0029,0.16,0,BENIGN
39.24,0,838,97.12,0.007277,137.41,0.25,0.002,0.0,0,BENIGN
10.0,0,12,52.0,0.508209,1.97,0.25,0.0088,1.48,0,BENIGN
29.97,0,836,97.34,0.007295,137.08,0.25,0.002,0.16,0,BENIGN
10.0,0,12,52.0,0.508209,1.97,0.25,0.0088,1.48,0,BENIGN
39.24,0,838,97.12,0.007277,137.41,0.25,0.002,0.0,0,BENIGN
14.27,0,9,52.0,0.722517,1.38,0.0,0.001,0.15,0,BENIGN
10.0,0,9,52.0,0.722517,1.38,0.0,0.0078,1.23,0,BENIGN
34.88,0,819,97.49,0.00794,125.95,0.0,0.002,0.15,0,BENIGN
35.5,0,6,52.0,1.083776,0.92,0.0,0.0039,0.31,0,BENIGN
35.5,0,6,52.0,1.083776,0.92,0.0,0.0039,0.31,0,BENIGN
44.16,0,824,97.33,0.007892,126.72,0.0,0.002,0.0,0,BENIGN
44.16,0,824,97.33,0.007892,126.72,0.0,0.002,0.0,0,BENIGN
10.0,0,10,53.8,0.647111,1.55,0.0,0.0068,1.08,0,BENIGN
10.0,0,10,53.8,0.647111,1.55,0.0,0.0068,1.08,0,BENIGN
10.0,0,10,53.8,0.647111,1.55,0.0,0.0068,1.08,0,BENIGN
44.16,0,817,97.29,0.007921,126.25,0.0,0.002,0.0,0,BENIGN
30.9,0,10,53.8,0.647111,1.55,0.0,0.0029,0.31,0,BENIGN
34.88,0,814,97.46,0.00795,125.79,0.0,0.002,0.15,0,BENIGN
34.88,0,815,97.35,0.007924,126.2,0.0,0.002,0.15,0,BENIGN
34.88,0,815,97.35,0.007924,126.2,0.0,0.002,0.15,0,BENIGN
34.88,0,815,97.35,0.007924,126.2,0.0,0.002,0.15,0,BENIGN
10.0,0,9,52.0,0.717571,1.39,0.0,0.0088,1.39,0,BENIGN
44.16,0,818,97.19,0.007895,126.66,0.0,0.002,0.0,0,BENIGN
10.0,0,9,52.0,0.717571,1.39,0.0,0.0088,1.39,0,BENIGN
29.49,0,12,52.0,0.553261,1.81,0.25,0.0029,0.3,0,BENIGN
44.16,0,846,97.0,0.007848,127.43,0.25,0.002,0.0,0,BENIGN
29.49,0,12,52.0,0.553261,1.81,0.25,0.0029,0.3,0,BENIGN
10.0,0,12,52.0,0.553261,1.81,0.25,0.0078,1.2,0,BENIGN
10.0,0,12,52.0,0.553261,1.81,0.25,0.0078,1.2,0,BENIGN
42.57,0,8,52.0,0.829892,1.2,0.25,0.0029,0.15,0,BENIGN
10.0,0,12,52.0,0.553261,1.81,0.25,0.0078,1.2,0,BENIGN
34.88,0,827,97.5,0.007342,136.2,0.0,0.002,0.16,0,BENIGN
30.9,0,9,52.0,0.674661,1.48,0.0,0.0029,0.33,0,BENIGN
30.9,0,9,52.0,0.674661,1.48,0.0,0.0029,0.33,0,BENIGN
34.88,0,827,97.5,0.007342,136.2,0.0,0.002,0.16,0,BENIGN
14.27,0,9,52.0,0.674661,1.48,0.0,0.001,0.16,0,BENIGN
30.9,0,9,52.0,0.674661,1.48,0.0,0.0029,0.33,0,BENIGN
34.88,0,803,97.34,0.007928,126.13,0.0,0.002,0.16,0,BENIGN
25.67,0,9,52.0,0.707355,1.41,0.0,0.0039,0.47,0,BENIGN
10.0,0,9,52.0,0.707355,1.41,0.0,0.0088,1.41,0,BENIGN
25.67,0,9,52.0,0.707355,1.41,0.0,0.0039,0.47,0,BENIGN
34.88,0,803,97.34,0.007928,126.13,0.0,0.002,0.16,0,BENIGN
44.16,0,806,97.18,0.007899,126.61,0.0,0.002,0.0,0,BENIGN
25.67,0,9,52.0,0.707355,1.41,0.0,0.0039,0.47,0,BENIGN
30.0,0,832,97.34,0.007916,126.33,0.5,0.002,0.0,0,BENIGN
14.27,0,9,52.0,0.731751,1.37,0.5,0.001,0.15,0,BENIGN
21.05,0,9,52.0,0.731751,1.37,0.5,0.0039,0.46,0,BENIGN
29.97,0,829,97.5,0.007944,125.88,0.5,0.002,0.15,0,BENIGN
10.0,0,9,52.0,0.731751,1.37,0.5,0.0078,1.21,0,BENIGN
29.97,0,829,97.5,0.007944,125.88,0.5,0.002,0.15,0,BENIGN
44.16,0,842,97.13,0.007869,127.08,0.25,0.002,0.0,0,BENIGN
14.27,0,12,52.0,0.552147,1.81,0.25,0.001,0.15,0,BENIGN
14.27,0,12,52.0,0.552147,1.81,0.25,0.001,0.15,0,BENIGN
10.0,0,12,52.0,0.552147,1.81,0.25,0.0068,1.06,0,BENIGN
