flow_duration,fwd_pkt_count,bwd_pkt_count,mean_pkt_size,iat_mean,pps,flood_score,mac_fill,new_mac_rate,syn_count,label
34.88,0,5555,1508.64,0.001119,893.97,0.0,0.002,0.16,0,DoS
34.88,0,5555,1508.64,0.001119,893.97,0.0,0.002,0.16,0,DoS
34.88,0,5555,1508.64,0.001119,893.97,0.0,0.002,0.16,0,DoS
34.88,0,5555,1508.64,0.001119,893.97,0.0,0.002,0.16,0,DoS
34.88,0,5555,1508.64,0.001119,893.97,0.0,0.002,0.16,0,DoS
34.88,0,5555,1508.64,0.001119,893.97,0.0,0.002,0.16,0,DoS
34.88,0,4746,1508.07,0.001118,894.74,0.0,0.002,0.19,0,DoS
34.88,0,4746,1508.07,0.001118,894.74,0.0,0.002,0.19,0,DoS
34.88,0,4746,1508.07,0.001118,894.74,0.0,0.002,0.19,0,DoS
34.88,0,4746,1508.07,0.001118,894.74,0.0,0.002,0.19,0,DoS
34.88,0,4746,1508.07,0.001118,894.74,0.0,0.002,0.19,0,DoS
34.88,0,4746,1508.07,0.001118,894.74,0.0,0.002,0.19,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.88,0,5930,1508.2,0.001118,894.38,0.25,0.002,0.15,0,DoS
34.91,0,5920,1508.69,0.001118,894.21,0.25,0.002,0.15,0,DoS
34.91,0,5920,1508.69,0.001118,894.21,0.25,0.002,0.15,0,DoS
34.91,0,5920,1508.69,0.001118,894.21,0.25,0.002,0.15,0,DoS
34.91,0,5920,1508.69,0.001118,894.21,0.25,0.002,0.15,0,DoS
34.91,0,5920,1508.69,0.001118,894.21,0.25,0.002,0.15,0,DoS
